id,dn_number,circle,state,city,area,type_of_build,financial_year,link_name,ce_route_id,ce_section_id,ce_subsection_id,municipal_authority,ward,road_name,start_point,end_point,authority_application_date,authority_application_number,authority_new_application_number,dn_received_date,dn_length,ri_amount,sd_amount,supervision_charge_amt,additional_charge_amt,land_length_mtrs,land_rent_start_date,land_rent_end_date,land_rent_tenure,ground_rent,access_charge,admin_charges,chamber_fee,gst,dn_amount_without_gst,dn_amount_with_gst,dn_payment_date,differential_dn_number,differential_dn_amount,differential_dn_sd,permission_receipt_date,permit_no,permit_start_date,permit_end_date,permitted_length_by_ward_mts,permitted_no_of_ducts,work_status,date_of_refund_application,refund_application_no,sd_refund_amount,sd_deductions,remarks_for_deductions,sd_check,sd_refund_date,sd_refund_ack_no,date_of_refund_application_ri,refund_application_no_ri,ri_refund_amount,penalty_deductions,remarks_for_deductions_ri,ri_refund_date,ri_refund_ack_no
313,783341581.00,Mumbai,Maharashtra,Mumbai,HW,Co-Built,25-26,5541.00,,,,MCGM,HW,PERRY ROAD,WINNIE APARTMENT,EDVIN 189 BUILDING,2025-04-24,783341581.00,,2025-04-26,140,1427515.0,713757.5,,,140,,,,280,,140.0,,,2141692.5,2141692.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,783344777,Mumbai,Maharashtra,Mumbai,ME,Co-Built,25-26,MA2512,MUMU26LF046,MUMU26LF046MCME,MUMU26LF046MCME250905D2C20001,MCGM,ME,DEONAR POLICE STATION ROAD,SHREE GANESH WASHING CENTRE,SHRINATH GUPTA SHOP,2025-09-05,783344777,,2025-09-11,4.0,59744.0,,,,4.0,,,,8.0,,4.0,,,59756.0,59756.0,,,,,2025-09-15,783344777.0,2025-09-16,2025-09-18,4.0,,,,,,,,,,,,,,,,,
1276,KDMC/KA/Const./181,Mumbai,Maharashtra,Mumbai,F,Co-Built,,Mumbai_Coverage_Route39,MUMU26RC039,,,KDMC,F,REGENCY ESTATE ROAD,NEAR KAMESHWAR MAHADEV MANDIR,NEAR KANGARO KIDS INTERNATIONAL SCHOOL,,Airtel/OSP/2025-26/OT/Kalyan/Mumabi_Coverage_39.4/510 Mtrs,,,510.0,6156786.3,615678.63,923517.95,,510.0,,,,102000.0,,0.0,0.0,0.0,7797982.88,7797982.88,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,KDMC/KA/Const./180,Mumbai,Maharashtra,Mumbai,F,Co-Built,,Mumbai_Coverage_Route39,MUMU26RC039,,,KDMC,F,SHANKARA NAGAR ROAD,NEAR KANGARO KIDS INTERNATIONAL SCHOOL,NEAR NEPTUNE ACCIDENT TRAUMA & BURN CENTER,,Airtel/OSP/2025-26/OT/Kalyan/Mumabi_Coverage_39.5/672 Mtrs,,,672.0,8193879.36,819387.84,1229081.9,,672.0,,,,134400.0,,0.0,0.0,0.0,2182869.84,2182869.84,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,KDMC/KA/Const./182,Mumbai,Maharashtra,Mumbai,F,Co-Built,,Mumbai_Coverage_Route31,MUMU26RC031,,,KDMC,F,PATHARLI ROAD,NEAR GAJ BANDHAN CHSL,NEAR OM SAI VIHAR,,Airtel/OSP/2025-26/OT/Kalyan/Mumabi_Coverage_31.4/353 Mtrs,,,353.0,4351265.09,435126.51,652689.76,,353.0,,,,70600.0,,0.0,0.0,0.0,5509681.36,5509681.36,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,KDMC/KA/Const./183,Mumbai,Maharashtra,Mumbai,F,Co-Built,,Mumbai_Coverage_Route31,MUMU26RC031,,,KDMC,F,JIJAI NAGAR ROAD & AMBIKA NAGAR ROAD,NEAR NAV RAM DARSHAN BUILDING,NEAR GAJ BANDHAN CHSL,,Airtel/OSP/2025-26/OT/Kalyan/Mumabi_Coverage_31.3/254 Mtrs,,,254.0,2647396.12,264739.61,397109.42,,254.0,,,,50800.0,,0.0,0.0,0.0,3360045.15,3360045.15,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,NMMC/Z-2/962/2025,Mumbai,Maharashtra,Mumbai,KK,Co-Built,,MUM_Route_49,MUMU26R049,,,NMMC,KK,Pawane Village Road,NAER PLOT NO W 145C,NEAR NISC,,Airtel/OSP/2025-26/HDD+OT/NMMC-Z-II/MUM_Coverage_Route49.3/189 Mtrs,,,189.0,1695292.0,169529.2,0.0,,189.0,,,,37800.0,,0.0,0.0,0.0,1902621.2,1902621.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,783348486,Mumbai,Maharashtra,Mumbai,KW,Co-Built,25-26,MUM_Route_111,MUMU26RA111,,,MCGM,KW,MAHARANA PRATAP ROAD,RUSHI TOWER,OPP MALA TOWER,2025-10-07,783348486,,2025-10-14,185.0,2763160.0,1381580.0,,,185.0,,,,370.0,,185.0,,,4145295.0,4145295.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,783348515,Mumbai,Maharashtra,Mumbai,KW,Co-Built,25-26,MUM_Route_111,,,,MCGM,KW,MAHARANA PRATAP ROAD,GREEN ACRES,RUSHI TOWER,2025-10-07,783348515,,2025-10-14,167.0,2494312.0,1247156.0,,,167.0,,,,334.0,,167.0,,,3741969.0,3741969.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,KDMC/KA/Const./163,Mumbai,Maharashtra,Mumbai,KD,Co-Built,,Mumbai_Coverage_Route13,MUMU26RC013,,,KDMC,KD,,Near Jhulele Chowk,Near Barve Road,,Airtel/OSP/2025-26/HDD/Kalyan/Mumbai_Coverage_Route13.5/336 Mtrs,,,336.0,4123896.0,412390.608,618585.912,,336.0,,,,67200.0,,0.0,0.0,0.0,5222082.5200000005,5222082.5200000005,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,KDMC/KA/Const./164,Mumbai,Maharashtra,Mumbai,KD,Co-Built,,Mumbai_Coverage_Route13,MUMU26RC013,,,KDMC,KD,,"Near D Mart, Mohan Square one",Near Moti Ram Open Plot Kalyan Sape Road,,Airtel/OSP/2025-26/HDD/Kalyan/Mumbai_Coverage_Route13.1/328 Mtrs,,,328.0,2870426.56,287042.656,430563.984,,328.0,,,,65600.0,,0.0,0.0,0.0,3653633.2,3653633.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1378,783348588,Mumbai,Maharashtra,Mumbai,A,Co-Built,25-26,MUM_Route_99,,,,MCGM,A,UNIVERSITY ROAD,MAHATMA GANDHI ROAD,KARMAVEER BHAURAO MARG,2025-10-07,783348588,,2025-10-14,155.0,1620370.01,,,,155.0,,,,310.0,,155.0,,,1620835.01,1620835.01,,,,,,,,,,,,,,,,,,,,,,,,,,
1379,KDMC/KA/Const./189,Mumbai,Maharashtra,Mumbai,H,Co-Built,,Mumbai_Coverage_Route21,MUMU26RC021,,,KDMC,H,,Near Gopinath Chowk,Near Sai Vaibhav Paradise,,Airtel/OSP/2025-26/OT/Kalyan/Mumbai_Coverage_Route21.2/640 Mtrs,,,640.0,7888979.2,788897.92,1183346.88,,640.0,,,,128000.0,,0.0,0.0,0.0,9989224.0,9989224.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1387,KDMC/KA/Const./162,Mumbai,Maharashtra,Mumbai,KD,Co-Built,,Mumbai_Coverage_Route13,MUMU26RC013,,,KDMC,KD,,Near Moti Ram Open Plot Kalyan Sape Road,Near Hotel Maintals Restaurant,,Airtel/OSP/2025-26/HDD/Kalyan/Mumbai_Coverage_Route13.2/387 Mtrs,,,387.0,105685.02,10568.502,15852.753,,387.0,,,,77400.0,,0.0,0.0,0.0,209506.27500000002,209506.27500000002,,,,,,,,,,,,,,,,,,,,,,,,,,
1388,KDMC/KA/Const./191,Mumbai,Maharashtra,Mumbai,H,Co-Built,,Mumbai_Coverage_Route21,MUMU26RC021,,,KDMC,H,,Near Atithi Hotel,Near Gopinath Chowk,,Airtel/OSP/2025-26/OT/Kalyan/Mumbai_Coverage_Route21.1/970 Mtrs,,,970.0,11956734.100000001,1195673.4100000001,1793510.1150000002,,970.0,,,,194000.0,,0.0,0.0,0.0,15139917.625000002,15139917.625000002,,,,,,,,,,,,,,,,,,,,,,,,,,
1389,NMMC/Z-2/963/2025,Mumbai,Maharashtra,Mumbai,KK,Co-Built,,MUM_Route_49,MUMU26R049,,,NMMC,KK,,"Near Eco Friend Industries ",Near Plot No-W-145C,,Airtel/OSP/2025-26/HDD+OT/NMMC-Z-II/MUM_Coverage_Route49.3/931 Mtrs,,,931.0,3149612.0,314961.2,0.0,,931.0,,,,186200.0,,0.0,0.0,0.0,3650773.2,3650773.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1390,NMMC/Z-2/964/2025,Mumbai,Maharashtra,Mumbai,KK,Co-Built,,MUM_Route_49,MUMU26R049,,,NMMC,KK,,Near NISC,Near Nextra Mahape,,Airtel/OSP/2025-26/HDD+OT/NMMC-Z-II/MUM_Coverage_Route49.4/498 Mtrs,,,498.0,3682178.0,368217.80000000005,0.0,,498.0,,,,99600.0,,0.0,0.0,0.0,4149995.8,4149995.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,783348516,Mumbai,Maharashtra,Mumbai,KW,Co-Built,25-26,MUM_Route_112,,,,MCGM,KW,BALASAHEB DEORAS MARG,ROYAL ACCORD,SNEH BUILDING,2025-10-07,783348516,,2025-10-14,95.0,1418920.0,709460.0,,,95.0,,,,190.0,,95.0,,,2128665.0,2128665.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,783348526,Mumbai,Maharashtra,Mumbai,KW,Co-Built,25-26,MUM_Route_112,,,,MCGM,KW,LOKHANDWALA COMPLEX ROAD,SNEH BUILDING,BANK OF MAHARASHTRA,2025-10-07,783348526,,2025-10-14,128.0,1911808.0,955904.0,,,128.0,,,,256.0,,128.0,,,2868096.0,2868096.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,783348529,Mumbai,Maharashtra,Mumbai,KW,Co-Built,25-26,MUM_Route_112,,,,MCGM,KW,LOKHANDWALA COMPLEX ROAD,FANTACY OPTIC SHOP,ARSHA SALOON,2025-10-07,783348529,,2025-10-14,170.0,2539120.0,1269560.0,,,170.0,,,,340.0,,170.0,,,3809190.0,3809190.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1404,783349555,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,VAN UDYAN ROAD,OPP JAYKANT BLISS BUILDING,MCF BMC GROUND,2025-10-11,783349555,,2025-10-15,100.0,1018700.0,,,,100.0,,,,200.0,,100.0,,,1019000.0,1019000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,783349569,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,EKSAR ROAD,OPP MUMBAI MILK CENTRE,CKP COLONY BUS STOP,2025-10-11,783349569,,2025-10-15,100.0,1018700.0,,,,100.0,,,,200.0,,100.0,,,1019000.0,1019000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,783348527,Mumbai,Maharashtra,Mumbai,KW,Co-Built,25-26,MUM_Route_112,,,,MCGM,KW,LOKHANDWALA COMPLEX ROAD,BANK OF MAHARASHTRA,KAMDHENU SHOPPING CENTRE,2025-10-07,783348527,,2025-10-14,162.0,2419632.0,1209816.0,,,162.0,,,,324.0,,162.0,,,3629934.0,3629934.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1407,783348528,Mumbai,Maharashtra,Mumbai,KW,Co-Built,25-26,MUM_Route_112,,,,MCGM,KW,LOKHANDWALA COMPLEX ROAD,KAMDHENU SHOPPING CENTER,TWIN APARTMENT(PRABHAT HARDWARE),2025-10-07,783348528,,2025-10-14,168.0,2509248.0,1254624.0,,,168.0,,,,336.0,,168.0,,,3764376.0,3764376.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,783349560,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,VAN UDYAN ROAD,MCF BMC GROUND,HIBISCUS WATER SUPPLIERS,2025-10-11,783349560,,2025-10-15,100.0,1018700.0,,,,100.0,,,,200.0,,100.0,,,1019000.0,1019000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1409,783349577,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,VAN UDYAN ROAD,OTTOBOCK CARE,TRIMURTI KRIPA CHS,2025-10-11,783349577,,2025-10-15,100.0,819975.0,,,,100.0,,,,200.0,,100.0,,,820275.0,820275.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,783349588,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,EKSAR ROAD,MAYUR TOWER,VEG TREAT ROYAL HOTEL,2025-10-11,783349588,,2025-10-15,50.0,461710.0,,,,50.0,,,,100.0,,50.0,,,461860.0,461860.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1411,783349595,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,EKSAR ROAD,TRIMURTI KRIPA CHS,VIJAY NAGAR,2025-10-11,783349595,,2025-10-15,100.0,1066190.0,,,,100.0,,,,200.0,,100.0,,,1066490.0,1066490.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1412,783349599,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,EKSAR ROAD,CKP COLONY BUS STOP,RBI SAHAYOG APT,2025-10-11,783349599,,2025-10-15,100.0,1018700.0,,,,100.0,,,,200.0,,100.0,,,1019000.0,1019000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,783348525,Mumbai,Maharashtra,Mumbai,KW,Co-Built,25-26,MUM_Route_111,,,,MCGM,KW,MAHARANA PRATAP ROAD,SAMARTH VAIBHAV,GREEN VILLE CHSL,2025-10-07,783348525,,2025-10-14,80.0,701560.0,350780.0,,,80.0,,,,160.0,,80.0,,,1052580.0,1052580.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,783349600,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,CHANDAVARKAR ROAD,OM GAJANAN  KRUPA CHS,RAIL NAGAR CHS,2025-10-11,783349600,,2025-10-15,100.0,1493600.0,,,,100.0,,,,200.0,,100.0,,,1493900.0,1493900.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1415,783348508,Mumbai,Maharashtra,Mumbai,KW,Co-Built,25-26,MUM_Route_112,,,,MCGM,KW,LOKHANDWALA COMPLEX ROAD,TWIN APARTMENT(PRABHAT HARDWARE),FANTACY OPTIC SHOP,2025-10-07,783348508,,2025-10-14,168.0,2509248.0,1254624.0,,,168.0,,,,336.0,,168.0,,,3764376.0,3764376.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,783349538,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,VAN UDYAN ROAD,OPP TRUPTI BUNGLOW,OPP JAYKANT BLISS BUILDING,2025-10-11,783349538,,2025-10-15,100.0,1018700.0,,,,100.0,,,,200.0,,100.0,,,1019000.0,1019000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,783349543,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,VAN UDYAN ROAD,VAISHALI CHS,OPP TRUPTI BUNGLOW,2025-10-11,783349543,,2025-10-15,135.0,1636440.0,,,,135.0,,,,270.0,,135.0,,,1636845.0,1636845.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1418,783349565,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,EKSAR ROAD,VIJAY NAGAR,RUDRA GROUP ISPACE TOWER,2025-10-11,783349565,,2025-10-15,100.0,1018700.0,,,,100.0,,,,200.0,,100.0,,,1019000.0,1019000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1419,783349574,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,VAN UDYAN ROAD,SHEETAL MEGHDOOT,OTTOBOCK CARE,2025-10-11,783349574,,2025-10-15,100.0,883375.0,,,,100.0,,,,200.0,,100.0,,,883675.0,883675.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1420,783348485,Mumbai,Maharashtra,Mumbai,KW,Co-Built,25-26,MUM_Route_111,MUMU26RA111,,,MCGM,KW,MAHARANA PRATAP ROAD,SILVER SPRING,GREEN ACRES,2025-10-06,783348485,,2025-10-14,145.0,2165720.0,1082860.0,,,145.0,,,,290.0,,145.0,,,3249015.0,3249015.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,783349582,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,VAN UDYAN ROAD,HIBISCUS WATER SUPPLIER,SHEETAL MEGHDOOT,2025-10-11,783349582,,2025-10-15,85.0,865895.0,,,,85.0,,,,170.0,,85.0,,,866150.0,866150.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1422,783349589,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,CHANDAVARKAR ROAD,ROYAL EKSAR CHS,OM GAJANAN  KRUPA CHS,2025-10-11,783349589,,2025-10-15,103.0,1357868.0,,,,103.0,,,,206.0,,103.0,,,1358177.0,1358177.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,783349590,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,CHANDAVARKAR ROAD,RAIL NAGAR CHS,KARMA YOG BUILDING NO.4,2025-10-11,783349590,,2025-10-15,105.0,1568280.0,,,,105.0,,,,210.0,,105.0,,,1568595.0,1568595.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,783349598,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,EKSAR ROAD,RUDRA GROUP ISPACE TOWER,MUMBAI MILK CENTRE,2025-10-11,783349598,,2025-10-15,100.0,1018700.0,,,,100.0,,,,200.0,,100.0,,,1019000.0,1019000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,783349601,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,EKSAR ROAD,RBI SAHAYOG APARTMENT,MAYUR TOWER,2025-10-11,783349601,,2025-10-15,90.0,916830.0,,,,90.0,,,,180.0,,90.0,,,917100.0,917100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1426,783349602,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,CHANDAVARKAR ROAD,VEG TREAT ROYAL HOTEL,ROYAL EKSAR CHS,2025-10-11,783349602,,2025-10-15,100.0,1493600.0,,,,100.0,,,,200.0,,100.0,,,1493900.0,1493900.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1427,783349611,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,Mumbai_Coverage_Route35,MUMU26RC035,,,MCGM,RC,BABURAO PARANJPE MARG,KARMA YOG BUILDING NO.4,AKSAR BIRYANI CENTER,2025-10-11,783349611,,2025-10-15,120.0,1792320.0,,,,120.0,,,,240.0,,120.0,,,1792680.0,1792680.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,KDMC/KA/Const./165,Mumbai,Maharashtra,Mumbai,KD,Co-Built,,Mumbai_Coverage_Route13,MUMU26RC013,,,KDMC,KD,,Near KDMC Garden,Near Jhulelal Chowk,,Airtel/OSP/2025-26/HDD/Kalyan/Mumbai_Coverage_Route13.4/493 Mtrs,,,493.0,4945789.4,494579.309,741868.9635,,493.0,,,,98600.0,,0.0,0.0,0.0,6280841.6725,6280841.6725,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,KDMC/KA/Const./177,Mumbai,Maharashtra,Mumbai,KD,Co-Built,,Mumbai_Coverage_Route13,MUMU26RC013,,,KDMC,KD,,Near Hotel Maintals Restaurant,Near KDMC Garden,,Airtel/OSP/2025-26/HDD/Kalyan/Mumbai_Coverage_Route13.3/570 Mtrs,,,570.0,295836.0,29583.600000000002,44375.4,,570.0,,,,114000.0,,0.0,0.0,0.0,483795.0,483795.0,,,,,,,,,,,,,,,,,,,,,,,,,,